forecast_year,Model,evaluation_start,evaluation_end,observation_count,evaluated_months,actual_demand,forecast_demand,absolute_error_sum,squared_error_sum,error_sum,mae,rmse,wape_pct,mean_bias,forecast_bias_pct,overforecast_count,underforecast_count
2025,Random Forest,2025-07-01,2025-12-01,192,6,1764222.0,1761346.092846562,603148.0938372795,3460907315.5437694,-2875.9071534382983,3141.396322069164,4245.651768000267,34.18776626962363,-14.97868309082447,-0.1630127701297398,101,91
2025,Seasonal Naive,2025-07-01,2025-12-01,192,6,1764222.0,1888211.0,748681.0,4629126825.0,123989.0,3899.3802083333335,4910.197098577103,42.43689286268962,645.7760416666666,7.027970402817786,101,91
2025,Naive Forecast,2025-07-01,2025-12-01,192,6,1764222.0,1724950.0,817652.0,5703665982.0,-39272.0,4258.604166666667,5450.375551854202,46.346321494687174,-204.54166666666666,-2.2260237090343504,86,106
