forecast_month,evaluated_series,actual_demand,forecast_demand,total_orders,ordered_units,on_time_units,delayed_units,reconciliation_difference,absolute_reconciliation_difference,forecast_variance,on_time_unit_rate_pct
2025-07-01,32,278728.0,275475.8165199628,263.0,278728.0,245112.0,33616.0,0.0,0.0,-3252.18348003715,87.93949657013289
2025-08-01,32,281137.0,278734.5007468824,273.0,281137.0,247743.0,33394.0,0.0,0.0,-2402.4992531176413,88.12180538314061
2025-09-01,32,289688.0,294864.64726205595,265.0,289688.0,252753.0,36935.0,0.0,0.0,5176.647262055978,87.250075943774
2025-10-01,32,337495.0,302186.15809576743,325.0,337495.0,294785.0,42710.0,0.0,0.0,-35308.84190423255,87.34499770366969
2025-11-01,32,270662.0,315333.13264982414,269.0,270662.0,238882.0,31780.0,0.0,0.0,44671.13264982428,88.25841824859049
2025-12-01,32,306512.0,294751.83757206885,290.0,306512.0,275960.0,30552.0,0.0,0.0,-11760.162427931213,90.03236414887509
